Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk
Vegetable Soup (1 can),Meal/Vegetable,140,4.057684046,22.67972618,4.023610475,5.730757389,8.254504275,790.4625697,4.867526124,Lunch,250,,Healthy
Croutons (1/4 cup),Grain,50,1.53594294,7.011732028,1.902030965,0.505791975,0.496988475,137.7221135,0,Lunch,0,,Healthy
Italian Dressing (2 tbsp),Condiment,70,0,2.912116678,7.321185904,0,2.080163939,293.6522287,0,Lunch,0,,Healthy
Churros (2 sticks),Dessert,240,3.066774271,31.45302361,12.32436525,1.45423756,9.983694583,208.2097252,20.91407989,Snack,0,,Healthy
Chocolate Sauce (1 tbsp dipping),Condiment,50,0.481620267,9.825417313,1.45730621,0.988358338,8.36326206,4.918594114,0,Snack,0,,Healthy
Sumac (1/2 tsp dressing),Condiment,5,0.095548413,0.977437296,0.193304263,0.510444854,0,0.992121833,0,Lunch,0,,Healthy
Lemon Slice (garnish),Condiment,1,0,0.292955384,0,0.09640074,0.09783334,0,0,Lunch,0,,Healthy
Labneh (2 tbsp),Dairy,60,3.956317476,1.958604754,4.06354199,0,1.936097281,76.59101355,15.38742239,Breakfast,0,,Healthy
Ricotta Cheese (1/4 cup),Dairy,85,5.74171565,2.445608043,6.266527729,0,1.025817056,51.17223442,23.33714826,Dinner,0,,Healthy
Refried Beans (1/2 cup),Legume,115,6.736722721,18.73846926,1.025193538,5.895652724,1.001994747,495.8903464,0,Dinner,0,,Healthy
Clam Chowder (1 cup),Meal/Seafood,200,10.0987211,17.28018882,8.951946446,0.975388943,2.099481472,877.4479476,29.86770539,Lunch,0,,Moderate
Chicken Tikka Masala (1.5 cups),Meal/Meat,480,28.58254249,19.37203337,31.29144448,4.890409322,8.149971087,861.9316926,97.82138476,Dinner,250,,Moderate
Spaghetti Bolognese,Meal/Pasta,460,20.85795892,54.76387726,17.88858627,5.852836806,9.77171295,709.1058069,48.83720215,Dinner,250,,Moderate
Mashed Cauliflower (1 cup),Vegetable,140,5.218861834,12.28204589,8.345875853,5.127172624,3.90208613,406.2550076,25.4151327,Dinner,0,,Healthy
Lobster (3oz steamed),Protein/Seafood,76,15.25739119,0,0.730837433,0,0,239.7033804,119.8758035,Dinner,250,,Healthy
Pita Bread (1 white),Grain,165,5.346200145,32.64294619,1.233514432,1.434930375,1.533190546,318.0469985,0,Snack,0,,Healthy
Pecorino Cheese (1 tbsp),Dairy,25,1.556946745,0.096650037,1.91772115,0,0,109.1109518,6.219476003,Dinner,0,,Healthy
Chicken McNuggets (6 pcs),Meal/Processed,270,14.39364319,16.05314369,15.40613926,0.980314779,0,509.3995143,38.10830851,Lunch,0,,Moderate
Bobotie (1 serving),Meal/Meat,450,24.25833461,30.42696878,24.8893259,4.778503531,15.49772837,687.9247204,150.7416863,Dinner,0,,Unhealthy
Turkey Sausage (1 patty),Protein/Meat,70,9.143137379,0.975491652,4.008329551,0,0.513753269,268.3111784,36.73354181,Breakfast,0,,Healthy
White Bread (1 slice),Grain,70,1.929586222,13.15621915,1.008174726,0.580218119,1.250818296,146.4509614,0,Breakfast,0,,Healthy
Apple Pie (1 slice),Dessert,410,2.969468031,56.02984991,18.85275544,3.028409673,24.55161257,318.2388083,0,Snack,0,,Unhealthy
Chicken & Rice Soup (1 can),Meal/Processed,130,6.75020555,17.52963072,3.072489678,2.069043824,2.061065354,842.2971955,14.68962842,Lunch,250,,Moderate
Biscuits and Gravy (1 serving),Meal/Processed,480,9.676134509,46.32325601,27.70998666,2.08495585,2.948518646,1064.64135,36.33565956,Breakfast,250,,Unhealthy
Pico de Gallo (1/4 cup),Condiment,15,0.510737917,3.059071502,0,1.006989577,2.063379646,197.4712763,0,Dinner,0,,Healthy
Alfajores (1 cookie),Dessert,180,2.072483579,23.06258078,10.22475195,1.024807205,14.73020689,62.12565727,20.08563852,Snack,0,,Moderate
Macaroni & Cheese (1 cup),Meal/Pasta,350,10.35483555,41.33027692,16.24591349,1.909866759,5.136250027,743.8606508,38.72014672,Lunch,250,,Moderate
Prosecco (3 oz),Beverage,70,0,1.932572819,0,0,1.538086373,4.908073246,0,Snack,0,,Healthy
Sake (3 oz),Beverage,117,0.412011772,3.885112545,0,0,0,3.80612364,0,Dinner,0,,Healthy
Limoncello (1.5 oz shot),Beverage,150,0,17.42176165,0,0,17.37697191,0,0,Snack,0,,Moderate
White Wine Sauce (1/4 cup),Condiment,80,1.0102611,4.132953384,6.273130839,0.489597152,2.0591054,312.1264583,5.090742493,Dinner,0,,Healthy
Pistachios (1 oz shelled),Nut,159,5.749456151,7.610785621,12.46123131,2.966414009,2.091755735,2.069616689,0,Snack,0,,Healthy
Sweet Vermouth (1 oz),Beverage,40,0,4.783216709,0,0,4.876633436,0,0,Snack,0,,Healthy
Flan (1 slice),Dessert,220,6.260514228,33.73520819,7.092382924,0,33.70492391,81.83313326,89.76855103,Snack,0,,Moderate
Paella (1.5 cups seafood),Meal/Rice,550,30.15175094,69.46687008,17.96939894,6.155631179,4.81670878,1256.075256,105.4616206,Dinner,0,,Moderate
White Wine Sauce (1/4 cup),Condiment,80,1.023824172,3.88890328,6.003445997,0.502759525,2.043756762,294.3615022,4.968067372,Dinner,0,,Healthy
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110,7.948439071,8.971015992,4.4505449,1.906316314,6.295780442,126.3110412,0,Breakfast,240,,Healthy
Balsamic Vinaigrette (2 tbsp),Condiment,90,0,2.853320699,9.302031772,0,2.574429728,299.1510191,0,Lunch,0,,Healthy
Panna Cotta (1 serving),Dessert,300,4.122229334,24.17046398,20.18551786,0,22.3286406,47.63564065,67.42632302,Snack,0,,Moderate
BBQ Sauce (2 tbsp),Condiment,60,0.513341921,15.18002524,0,0.499446745,12.51353663,336.9937936,0,Lunch,0,,Moderate
Muffin (Blueberry 1 large),Grain/Dessert,380,5.237572648,53.6790464,16.73839398,1.970466422,29.6575024,335.5510452,48.04670477,Breakfast,250,,Unhealthy
Fiorentina Steak (3oz portion),Protein/Meat,230,24.15808739,0,14.79531421,0,0,62.62742846,73.62639902,Dinner,0,,Healthy
Root Beer (1 can),Beverage,150,0,39.39462865,0,0,41.0838271,57.64875321,0,Snack,355,,Moderate
Gin & Tonic (1 drink),Beverage,170,0,13.28986931,0,0,12.72673545,2.001148425,0,Snack,180,,Moderate
Tomato (1/4 cup side),Vegetable,8,0.310458172,1.826256975,0.102462687,0.518996948,1.178603166,2.045514245,0,Breakfast,0,,Healthy
Shepherd's Pie (1 serving),Meal/Meat,400,19.76884375,34.55937961,19.68228234,6.214842315,7.042830419,826.0261459,52.92603205,Dinner,250,,Moderate
French Fries (medium),Vegetable/Processed,340,4.029031006,45.1331328,17.20971165,4.102199046,0.30006632,230.5028827,0,Dinner,0,,Healthy
Coffee (black),Beverage,5,0.302142792,0,0.104358319,0,0,4.907901006,0,Breakfast,0,,Healthy
Pretzels (1 oz),Grain/Processed,110,2.929825497,23.84124361,1.006681282,1.001260612,1.00863976,451.0513705,0,Snack,0,,Moderate
Beef Steak (6oz sirloin),Protein/Meat,270,42.90348309,0,9.552647239,0,0,89.75974626,114.9847774,Dinner,250,,Healthy
Lettuce (Romaine 2 cups),Vegetable,16,0.971156475,2.963547909,0.292589476,2.010149848,1.001566855,10.36735132,0,Lunch,0,,Healthy
Ground Beef (2 oz in sauce),Protein/Meat,140,10.604986,0,9.657793707,0,0,39.25482628,34.45638718,Dinner,0,,Healthy
Muffin (Blueberry 1 large),Grain/Dessert,380,4.855715295,57.5825032,15.96275966,2.063894814,29.9863707,338.6311662,49.97336461,Breakfast,250,,Unhealthy
Sesame Oil (1 tsp),Condiment,40,0,0,4.657534628,0,0,0,0,Dinner,0,,Healthy
Cobb Salad,Meal/Protein,510,30.16763296,12.19265208,38.28422703,6.897301456,5.958253972,803.8688079,206.3946983,Lunch,500,,Moderate
Pork Bun (1 steamed),Meal/Processed,220,8.278028781,28.51229671,7.767863407,1.956758363,5.8475849,405.8007963,19.97640508,Lunch,0,,Moderate
Lentil Soup (1 can),Meal/Legume,230,14.52294102,36.50685133,2.993575653,11.61907861,6.056027335,618.8069806,0,Lunch,250,,Healthy
Orange Peel (garnish),Condiment,1,0,0.204534456,0,0.100254672,0,0,0,Snack,0,,Healthy
Maple Syrup (2 tbsp),Condiment,104,0,27.55133337,0,0,24.51218889,1.938617489,0,Breakfast,0,,Moderate
Cod (4oz baked),Protein/Fish,95,19.6349343,0,0.783792941,0,0,95.99365639,57.56221655,Dinner,250,,Healthy
Caesar Salad (with chicken),Meal/Protein,470,28.81491694,14.48026272,29.63115396,3.117323492,3.055065853,921.9910284,78.30532918,Lunch,250,,Unhealthy
Espresso Martini (1 drink),Beverage,280,0.482804376,24.06568458,0,0,25.84008585,4.944589791,0,Snack,120,,Moderate
Melted Butter (for lobster),Condiment,200,0.205603293,0,22.91130889,0,0,161.2653389,62.12893466,Dinner,0,,Moderate
Mashed Potatoes (1 cup),Vegetable,230,4.081792502,36.24091938,7.783952246,3.101227947,2.050478346,351.1592037,15.62769934,Dinner,0,,Healthy
S'more (1 serving),Dessert,140,2.09392904,24.67141921,4.145592009,0.96077657,15.42974765,93.17235202,0,Snack,0,,Moderate
Tilapia (4oz baked),Protein/Fish,110,21.31008609,0,2.610996546,0,0,48.71427356,49.58661581,Dinner,0,,Healthy
Beef Wellington (1 slice),Meal/Meat,600,30.65548583,35.84815176,36.72106106,4.045816084,4.154762949,832.3199399,98.47383322,Dinner,0,,Moderate
Falafel (3 pieces),Meal/Vegetarian,180,6.073014743,17.41575291,8.710940611,3.881329295,1.047506453,307.6651051,0,Lunch,0,,Healthy
Chai Latte (12 oz),Beverage,190,6.850704656,31.79732384,3.845318457,1.049558952,28.76534961,101.697503,15.64851692,Snack,355,,Moderate
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180,12.17726671,9.737814305,10.31522025,2.022457307,0.972044818,555.9064854,61.41657318,Lunch,0,,Moderate
Garlic Sauce (1 tbsp),Condiment,90,0.101717616,1.008659051,10.36815686,0,0.509711301,78.22616452,4.912689415,Lunch,0,,Healthy
Veggie Straws (1 oz),Snack/Processed,130,0.982374609,17.4286988,7.253523176,1.023135369,0.956639623,222.2791666,0,Snack,0,,Healthy
Chicken Noodle Soup (1 can),Meal/Processed,150,6.915837832,17.44001998,4.872240659,2.023307763,1.946726198,873.1149268,15.55946676,Lunch,250,,Moderate
Lomo Saltado (1.5 cups),Meal/Meat,500,36.54399915,46.60741552,21.01075094,4.879244896,5.972038179,1129.22596,90.97328142,Dinner,0,,Moderate
Parmigiano-Reggiano (1 tbsp),Dairy,22,1.949725134,0.194082785,1.533140325,0,0,96.05495809,3.822056978,Dinner,0,,Healthy
Pancakes (2 medium),Grain,180,5.179028472,31.41556966,5.040449526,1.020086889,6.043202462,456.5945063,24.28014929,Breakfast,0,,Moderate
Macadamia Nuts (1 oz),Nut,204,2.305607227,4.015579632,21.24761576,2.452190669,1.276642915,0.979490253,0,Snack,0,,Moderate
Popcorn (3 cups air-popped),Grain,93,3.108659376,18.03599787,1.116242803,3.68710158,0.101426685,1.918658576,0,Snack,250,,Healthy
Angostura Bitters (dash),Condiment,5,0,0,0,0,0,0,0,Snack,0,,Healthy
Pizza (Margherita 1 slice),Meal/Processed,250,12.35898911,29.73424819,9.814927092,3.002114445,4.03091701,603.964127,25.26003673,Dinner,250,,Moderate
Sage (in beans),Condiment,1,0,0.099429426,0,0.098633147,0,0,0,Dinner,0,,Healthy
Eggs Benedict (1 serving),Meal/Protein,600,24.94465793,31.02314024,41.22552812,2.962414466,3.932777582,1121.662853,433.7845643,Breakfast,250,,Unhealthy
Oat Milk (1 cup),Beverage/Dairy-Alt,120,2.934151463,16.09004849,4.858026528,2.073354749,6.688451058,101.7505301,0,Breakfast,0,,Healthy
Sweet & Sour Chicken (1 cup),Meal/Processed,380,18.31553823,46.7097378,14.75643457,3.134921936,26.16757888,749.7385547,49.21384944,Dinner,0,,Unhealthy
Biscuits and Gravy (1 serving),Meal/Processed,480,9.547185584,44.48872832,27.11137432,2.066375668,3.061429881,1049.72431,33.25639011,Breakfast,250,,Unhealthy
Mignonette Sauce (1 tbsp),Condiment,5,0,1.031685898,0,0,0.500897697,30.55493761,0,Dinner,0,,Healthy
Greek Yogurt (plain 1 cup),Dairy,150,24.54414652,7.717669669,3.096827598,0,7.25030622,88.04466541,10.37961327,Snack,250,,Healthy
Pretzels (1 oz),Grain/Processed,110,2.934035521,24.08622166,0.953426598,1.046888755,0.953691663,466.5919166,0,Snack,0,,Moderate
Popcorn (3 cups air-popped),Grain,93,2.865246211,19.02612435,1.125154339,3.556774269,0.10349241,1.967804159,0,Snack,250,,Healthy
Empanada (Beef 1 medium),Meal/Processed,290,10.40254745,29.35268836,16.72106006,2.944393262,2.868547211,558.3970801,29.75516964,Lunch,0,,Moderate
English Muffin (whole wheat),Grain,134,6.070120129,25.66508372,0.987859302,4.360117055,1.041298026,214.7430505,0,Breakfast,250,,Healthy
Tea (Green, 1 cup),110,1.956140813,0.488188445,0,0,0,0,2.086727848,0,Breakfast,245.8291923,Healthy
Coconut (shredded garnish),Fruit,10,0.100568646,0.504609258,1.030285288,0.206911762,0.101647458,0,0,Snack,0,,Healthy
Hot Sauce (1 tsp Tabasco),Condiment,0,0,0,0,0,0,36.11217794,0,Breakfast,0,,Healthy
Pretzel Bun (1 medium),Grain,230,8.31065799,43.48984868,2.07788491,2.090617124,3.810122607,550.6511912,0,Lunch,0,,Moderate
Mayonnaise (1 tbsp),Condiment,90,0.102550297,0.097480057,9.895614845,0,0.10042777,73.22904212,5.201661151,Lunch,0,,Healthy
Mayonnaise (1 tbsp for dipping),Condiment,90,0.095614054,0.099607628,9.742786845,0,0.099792188,70.82365647,5.002895092,Dinner,0,,Healthy
Sweet & Sour Chicken (1 cup),Meal/Processed,380,18.43286157,45.55987004,15.24491124,3.006454633,24.31642431,784.4711611,47.59370107,Dinner,0,,Unhealthy
Onion Rings (6 rings),Snack/Processed,280,3.927348283,30.11802739,16.47090184,2.98863894,3.926422205,476.6273686,0,Snack,0,,Moderate
Cranberry Juice (1 cup),Beverage,130,0,34.1682257,0,0,31.11899024,9.51843841,0,Breakfast,240,,Moderate
Cream Cheese (2 tbsp),Dairy,100,1.925940193,1.971404197,10.38980408,0,0.965037698,93.39046456,30.89399257,Breakfast,0,,Healthy
Mozzarella (filling 0.5 oz),Dairy,40,2.883123407,0.487552373,3.055863918,0,0.200139104,75.8789925,9.880435183,Snack,0,,Healthy
Tortilla Chips (1 oz),Snack/Processed,140,1.909689546,19.17448687,6.657245854,1.990345175,0.487409743,122.8372811,0,Snack,0,,Healthy
Chocolate Pudding (1/2 cup),Dessert,150,1.913238868,27.61067071,4.127875865,2.096435822,22.07596284,134.8327314,2.087020329,Snack,0,,Moderate
Tilapia (4oz baked),Protein/Fish,110,21.96125051,0,2.534361907,0,0,47.68904848,48.20068199,Dinner,0,,Healthy
Canadian Bacon (2 slices),Protein/Meat,80,11.64729423,1.049498124,3.115398703,0,0.985558177,641.2738505,41.48931217,Breakfast,0,,Moderate
Hoisin Sauce (1 tbsp),Condiment,35,0.307842247,8.295256133,0.195254304,0.098252931,4.776351201,211.4716912,0,Dinner,0,,Healthy
Hollandaise Sauce (2 tbsp),Condiment,110,1.021510154,0.500962596,12.27578473,0,0.209434695,148.5366686,50.21941638,Breakfast,0,,Healthy
Green Beans (1 cup),Vegetable,31,1.809845911,7.295735634,0.193893017,2.806108949,3.397956433,5.917212696,0,Dinner,0,,Healthy
Carrot (1/4 minced in sauce),Vegetable,10,0.20139506,2.335397025,0.099691109,0.708005893,1.24418897,16.79761249,0,Dinner,0,,Healthy
Diet Soda (1 can),Beverage,0,0,0,0,0,0,41.24045275,0,Lunch,355,,Healthy
Tuna Melt,Meal/Processed,450,25.82247853,32.07021001,23.95365369,3.006566024,4.028796571,896.6811457,48.93446897,Lunch,250,,Unhealthy
Potato Chips (1 oz),Snack/Processed,160,2.083206168,14.37152946,9.843869494,1.036791368,0.485191851,164.1370599,0,Snack,0,,Healthy
Silken Tofu (3oz in soup),Protein/Vegetarian,45,4.926337675,2.036782528,2.563950916,0.513719405,0.955794044,5.0080333,0,Dinner,0,,Healthy
Cherries (1 cup),Fruit,77,1.552753812,18.21561055,0.511021042,2.400281647,14.36955463,0,0,Snack,0,,Moderate
Garlic Bread (1 slice),Grain,150,4.028012687,18.5238069,7.076490671,0.968465372,0.952432058,302.8771808,0,Dinner,0,,Healthy
Mashed Cauliflower (1 cup),Vegetable,140,5.178465203,11.51452939,7.905900121,5.030266979,4.022927104,411.0562745,23.85217527,Dinner,0,,Healthy
Sashimi (Salmon 3 pcs),Protein/Fish,120,18.60856431,0,4.993950223,0,0,44.16167285,40.51142394,Lunch,0,,Healthy
Tuna (Canned 3oz in water),Protein/Fish,90,19.34889919,0,0.98655226,0,0,238.4553242,33.47911928,Lunch,0,,Healthy
Pickled Radish (1/4 cup),Vegetable,15,0.507879088,2.899595418,0,1.045490652,2.025583801,255.0304964,0,Breakfast,0,,Healthy
Baba Ganoush (1/4 cup),Meal/Vegetable,100,1.960333787,7.786526451,7.319469858,4.133227063,1.900335663,285.5525914,0,Snack,0,,Healthy
Coriander (1 tsp),Condiment,5,0.101208672,1.035672498,0.200528888,0.507776865,0,0.963495077,0,Lunch,0,,Healthy
Feta Cheese (1 oz),Dairy,75,4.106298789,1.201294404,6.101155548,0,0.715938337,323.1766803,25.60876157,Lunch,0,,Healthy
Lomo Saltado (1.5 cups),Meal/Meat,500,36.47240343,44.44039232,21.23128681,5.108795988,6.22764144,1120.852483,92.32204592,Dinner,0,,Moderate
Biscotti (1 cookie),Dessert,110,1.933706405,17.49342475,4.113362868,0.950104751,8.734569906,48.88331905,15.08607453,Snack,0,,Healthy
Olives (Kalamata 5 large),Fruit,35,0.200826161,1.031451029,3.48967665,0.523912323,0,205.2007298,0,Lunch,0,,Healthy
Chickpeas (1/2 cup canned),Legume,135,7.332469277,22.33517206,2.048946177,6.24888119,2.941862214,253.3987782,0,Lunch,0,,Healthy
Pate (Mushroom 2 tbsp),Condiment,70,1.026353931,1.978392315,6.77667797,0.996486565,0.972600234,99.30980119,0,Dinner,0,,Healthy
Veal Parmesan (1 serving),Meal/Meat,550,38.72013666,28.96743448,30.96844165,4.105074101,7.059008478,1091.706293,135.3248338,Dinner,250,,Moderate
Hummus Wrap (large),Meal/Vegetarian,450,15.45084213,59.19894189,18.09337469,12.0339613,5.104604723,813.4101399,0,Lunch,500,,Moderate
Hummus (2 tbsp),Legume,70,1.951363859,4.160931896,4.879952386,1.977143131,0,127.0167624,0,Snack,0,,Healthy
Salt (1/4 tsp),Condiment,0,0,0,0,0,0,600.9546879,0,Dinner,0,,Moderate
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145,2.392940003,16.52095595,7.826054481,0.48570488,16.43878917,54.11421479,31.28526599,Snack,0,,Moderate
Chimichurri (1 tbsp),Condiment,45,0.100178691,0.519145817,4.497083558,0.196809786,0.103206279,101.5354664,0,Dinner,0,,Healthy
Spaghetti (side),Grain,100,3.489007935,21.43535576,0.479317637,0.994330157,0.480500722,0,0,Dinner,0,,Healthy
Coffee Liqueur (1 oz),Beverage,100,0,15.05165285,0,0,15.56799721,1.900436341,0,Snack,0,,Moderate
Chocolate Pudding (1/2 cup),Dessert,150,2.078650976,27.03268636,4.165621785,2.063982906,21.31675395,128.8411962,1.947631669,Snack,0,,Moderate
Espresso (1 oz in drink),Beverage,3,0.296923224,0,0.099722547,0,0,1.036848299,0,Snack,0,,Healthy
Coconut Milk (1/4 cup canned),Condiment,111,1.145426266,2.97600908,11.22159926,0.486326594,1.564498186,8.2280805,0,Dinner,0,,Healthy
Empanada (Beef 1 medium),Meal/Processed,290,10.172305,27.9908636,15.41189706,3.041660793,2.886475771,534.5328733,29.80151954,Lunch,0,,Moderate
Gnocchi alla Sorrentina (1.5 cups),Meal/Pasta,450,15.01940217,60.80975997,18.59943555,5.962938647,9.241866726,825.500499,40.63355254,Dinner,0,,Moderate
Watermelon (1 cup diced),Fruit,46,0.862354923,11.19291976,0.192466087,0.586313837,9.757867923,1.912398247,0,Snack,0,,Healthy
Onion (1/2 cup raw chopped),Vegetable,32,0.874716322,7.694935608,0.101610891,1.361455638,3.843164749,3.000663347,0,Dinner,0,,Healthy
Campari (1 oz),Beverage,80,0,9.876402696,0,0,10.46046601,4.852325391,0,Snack,0,,Healthy
Chicken Parm Sandwich,Meal/Processed,650,39.65073416,57.08561529,28.51862106,5.81808946,9.014968277,1373.22268,101.9644835,Lunch,500,,Moderate
Coconut Flakes (1 tbsp topping),Fruit,35,0.311003643,1.458353879,3.260931575,0.706513988,0.497244818,0.981623118,0,Breakfast,0,,Healthy
Powdered Sugar (1 tsp),Condiment,10,0,2.41209014,0,0,2.504709389,0,0,Breakfast,0,,Healthy
Jelly (1 tbsp grape),Condiment,50,0,12.36305504,0,0.100578553,11.44340395,4.907949634,0,Breakfast,0,,Healthy
Shawarma (Chicken 1 wrap),Meal/Processed,550,29.89498666,52.00939618,26.06384647,6.060314987,4.904640769,1061.787274,81.48348483,Lunch,250,,Moderate
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180,11.6253594,10.17932278,10.10485258,1.976279859,0.953448232,556.7213515,59.89103797,Lunch,0,,Moderate
Samosa (1 piece vegetable),Snack/Processed,130,1.92049921,18.45484692,6.060600148,2.059891283,0.976085743,289.8180367,0,Snack,0,,Healthy
Meatball Sub (6 inch),Meal/Processed,580,28.58756355,56.69397203,26.90221414,6.180918019,10.01892666,1160.915672,70.6505211,Lunch,500,,Moderate
Turkey Sandwich (on wheat),Meal/Processed,340,22.53716043,34.0629221,12.59135229,4.823731633,5.77797889,815.9183714,50.65389364,Lunch,500,,Healthy
Italian Dressing (2 tbsp),Condiment,70,0,3.063730409,7.101138729,0,1.95330348,310.0907936,0,Lunch,0,,Healthy
Chicken Tikka Masala (1.5 cups),Meal/Meat,480,29.73811313,19.34619257,30.60515299,5.093588857,7.711351807,893.27342,97.4407327,Dinner,250,,Moderate
Flan (1 slice),Dessert,220,6.221038078,36.50106469,7.090801406,0,31.88302781,78.69650021,93.64750358,Snack,0,,Moderate
Tilapia (4oz baked),Protein/Fish,110,21.42560342,0,2.510187997,0,0,49.99277324,48.58270189,Dinner,0,,Healthy
Spaghetti (side),Grain,100,3.648795713,20.10136003,0.500639943,0.961167029,0.489773863,0,0,Dinner,0,,Healthy
Basil (2 tbsp fresh),Condiment,1,0.098140001,0.098898647,0,0.100229446,0,0,0,Dinner,0,,Healthy
Espresso Martini (1 drink),Beverage,280,0.488008849,23.94092321,0,0,24.52678284,5.154087235,0,Snack,120,,Moderate
Sugar (1 tsp for cereal),Condiment,16,0,4.017964364,0,0,3.841624872,0,0,Breakfast,0,,Healthy
Potato (1/2 w/ pasta),Vegetable,65,1.016073674,15.52157022,0.097447622,1.002076502,0.501841139,2.943010426,0,Dinner,0,,Healthy
Ribollita (1.5 cups soup),Meal/Soup,350,15.08606061,54.55434846,8.009496489,13.8598997,9.913342864,885.7702454,4.920848438,Dinner,500,,Healthy
Lobster Bisque (1 cup),Meal/Seafood,250,8.002805335,11.97384693,17.82490449,0.979744798,2.943228733,821.8315454,52.3917223,Lunch,250,,Moderate
Reuben Sandwich,Meal/Processed,650,28.07164007,33.25915234,39.02416991,5.130031898,6.105426452,1573.278385,97.4533464,Lunch,500,,Moderate
Pretzel Bun (1 medium),Grain,230,8.002361856,43.74942452,2.048771591,2.006076881,3.952834766,543.6158672,0,Lunch,0,,Moderate
Risotto alla Milanese (1 cup),Meal/Rice,350,9.591278872,51.81154263,12.53702255,3.057614089,2.888442295,704.3801818,31.38696103,Dinner,0,,Moderate
Pickled Cucumber (1/4 cup),Vegetable,10,0.476623309,2.030615219,0,1.046685558,0.963679997,302.2165747,0,Dinner,0,,Healthy
Salsa (1/4 cup),Vegetable,20,0.799539854,4.698867592,0.097694693,1.018017766,2.855786873,257.5548304,0,Lunch,0,,Healthy
Cabbage Slaw (side),Vegetable,60,1.035628158,8.019695139,3.140230962,1.982871346,5.139044934,116.1370496,5.237693872,Dinner,0,,Healthy
Hummus (2 tbsp),Legume,70,1.912193567,4.077575713,5.248078923,2.075479631,0,132.3678175,0,Snack,0,,Healthy
Coarse Salt (garnish),Condiment,0,0,0,0,0,0,206.0776815,0,Lunch,0,,Healthy
Tilapia (4oz baked),Protein/Fish,110,22.89085218,0,2.620265479,0,0,49.0713254,49.43803283,Dinner,0,,Healthy
Tomato Soup (1 can),Meal/Vegetable,170,4.017800122,25.60356615,6.004647413,3.82550917,15.70604804,909.7920687,9.985461488,Lunch,0,,Moderate
Garlic (1/2 clove in pesto),Vegetable,2,0.102188607,0.512111646,0,0,0,0,0,Dinner,0,,Healthy
Sake (3 oz),Beverage,117,0.415149701,3.782878911,0,0,0,4.067596443,0,Dinner,0,,Healthy
Sweet Potato (1 medium baked),Vegetable,103,2.1875378,23.02786508,0.201688117,3.713222646,7.18421779,39.13649205,0,Dinner,0,,Healthy
Orange Juice (1 cup),Beverage,112,1.63306723,25.49788491,0.497377885,0.709526669,20.9629142,2.049703724,0,Breakfast,240,,Moderate
Apple,Fruit,95,0.509035163,24.37452421,0.288158573,4.521161972,19.90309189,2.02207514,0,Snack,0,,Healthy
Tomato (1/4 cup side),Vegetable,8,0.303155349,1.868353503,0.100629432,0.485791163,1.1583417,1.98172886,0,Breakfast,0,,Healthy
Pico de Gallo (1/4 cup),Condiment,15,0.518418784,3.118087268,0,1.012298096,2.053027012,192.9297994,0,Dinner,0,,Healthy
Cheese Whiz (2 tbsp),Condiment/Processed,90,3.94012527,2.862404998,7.031732573,0,2.051679414,560.7161372,20.15074341,Lunch,0,,Moderate
White Wine Sauce (1/4 cup),Condiment,80,1.044916153,3.907201209,5.959286587,0.481787029,2.048957171,285.1920468,4.765372047,Dinner,0,,Healthy
Rosemary (garnish),Condiment,1,0,0.195094406,0,0.100458946,0,0,0,Dinner,0,,Healthy
Choripan (1 sandwich),Meal/Processed,550,19.26813202,38.13307041,34.0198959,2.872258433,3.853647482,1144.741259,82.41758654,Lunch,250,,Unhealthy
Refried Beans (1/2 cup),Legume,115,7.244016451,18.97385067,1.040876152,6.099079681,0.96453481,502.1891372,0,Dinner,0,,Healthy
Garlic (1/2 clove in pesto),Vegetable,2,0.102931036,0.476580612,0,0,0,0,0,Dinner,0,,Healthy
Whole Wheat Toast (1 slice),Grain,80,4.173504124,14.19701014,1.000660532,2.03191117,2.07945055,137.9526494,0,Breakfast,0,,Healthy
Blue Cheese Dressing (2 tbsp),Condiment,150,1.03343975,2.099802963,16.24319353,0,1.029034444,331.8198189,9.558279316,Lunch,0,,Moderate
Dark Chocolate (1 oz 70%),Dessert,170,2.138424567,12.90068893,11.7194228,2.984638373,7.240598644,4.863953811,0,Snack,0,,Healthy
Sausage Link (1 cooked),Protein/Meat,85,5.012987999,0.95421059,7.236679504,0,0.511530931,310.1119701,20.71280018,Breakfast,0,,Healthy
Rosemary (1 tsp topping),Condiment,1,0,0.193213698,0,0.104237133,0,0,0,Lunch,0,,Healthy
Whiskey (1.5 oz shot),Beverage,105,0,0.10196877,0,0,0.104464379,0.97514284,0,Snack,0,,Healthy
Tartar Sauce (2 tbsp),Condiment,60,0.196725712,2.083444118,5.411747163,0.102207647,1.489343824,180.2738219,4.844225604,Dinner,0,,Healthy
Olive Oil (1 tbsp drizzle),Condiment,120,0,0,13.65940711,0,0,0,0,Dinner,0,,Healthy
